id,pesofitc,qf1,qf2,qf3_1,qf3_3,qf3_4,qf3_6,qf3_7,qf3_8,qf3_99,qf4,qf8,qf9_1,qf9_2,qf9_3,qf9_4,qf9_5,qf9_6,qf9_7,qf9_8,qf9_9,qf9_10,qf9_99,qprod1c_1,qprod1c_2,qprod1c_10,qprod1c_11,qprod1c_12,qprod1c_3,qprod1c_5,qprod1c_6,qprod1c_14,qprod1c_7,qprod1c_8,qprod1c_99,qprod1_d,qprod2,qprod3_1,qprod3_2,qprod3_3,qprod3_4,qprod3_5,qprod3_6,qprod3_7,qprod3_8,qprod3_9,qprod3_10,qprod3_11,qprod3_12,qprod3_13,qprod3_14,qprod3_15,qprod3_16,qprod3_17,qprod3_18,qprod3_99,qf10_1,qf10_2,qf10_3,qf10_4,qf10_5,qf10_6,qf10_7,qf10_8,qf10_9,qf10_10,qf10_11,qf10_12,qprod4_1,qprod4_2,qprod4_3,qk1,qf11,qf12_1_a,qf12_1_b,qf12_1_c,qf12_2_d,qf12_3_e,qf12_3_f,qf12_3_g,qf12_4_k,qf12_4_l,qf12_5_m,qf12_5_o,qf12_6_p,qf12_6_q,qf12_7_r,qf12_97,qf12_99,qf13,qk3,qk4,qk5,qk6,qk7_1,qk7_2,qk7_3,qd1,qd5b,qd7,qd9,qd10,qd12,SM,AREA5
38,0.729551108,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,5,3,5,2,5,2,1,1,4,5,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,102,2,-97,1,-97,0,3,41,3,4,1,0,1
39,0.201678286,2,1,0,0,0,1,0,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,12,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,2,2,3,3,3,2,3,3,2,2,0,0,0,3,0,,,,,,,,,,,,,,,,,5,2,-97,-97,4,1,1,0,1,3,65,3,6,1,0,1
40,1.441326825,3,0,0,0,0,0,0,1,0,-98,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,3,2,-97,5,3,4,3,2,4,5,5,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,-97,-97,2,0,0,0,1,4,24,3,5,1,0,1
41,0.42764717,2,0,0,0,0,0,0,1,0,1,-97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,5,2,1,1,1,1,1,1,2,5,2,1,0,0,3,0,,,,,,,,,,,,,,,,,5,3,-97,-97,-97,1,1,0,1,3,64,3,6,1,0,1
42,1.146843132,2,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,5,1,3,1,2,3,1,4,1,2,0,0,0,4,0,,,,,,,,,,,,,,,,,-97,-97,0,2,1,1,1,0,0,2,73,3,6,1,0,1
43,0.452524073,2,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,3,3,1,3,3,3,2,5,5,5,2,0,0,0,3,0,,,,,,,,,,,,,,,,,5,3,0,102,2,1,1,1,0,2,62,3,1,1,0,1
44,0.455409248,2,0,0,0,0,0,0,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,1,5,5,1,4,5,5,5,1,0,0,0,3,0,,,,,,,,,,,,,,,,,-99,3,-97,-97,-97,1,1,1,1,5,57,4,2,1,0,1
46,0.638719155,2,0,0,1,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,5,4,1,4,1,5,4,4,5,5,3,0,0,0,3,0,,,,,,,,,,,,,,,,,5,3,0,-97,-97,1,1,-97,1,3,39,3,2,1,0,1
47,0.666818266,3,0,0,1,0,0,0,0,0,-98,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,3,4,2,-97,2,1,1,2,5,0,0,0,5,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,120,1,-97,1,-97,1,2,21,3,5,1,0,1
48,1.142066737,3,0,0,0,0,0,0,1,0,-97,-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,4,3,-99,2,3,2,2,4,0,0,0,3,0,,,,,,,,,,,,,,,,,-99,3,0,-99,2,1,1,0,1,3,30,1,2,1,0,1
50,0.938714486,2,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,-97,2,5,2,5,-99,1,3,1,5,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-97,2,-97,-97,-97,1,1,1,0,2,78,3,6,1,0,1
51,1.867212916,2,-99,0,1,0,0,0,0,0,-97,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,3,3,1,5,1,4,3,2,3,5,5,0,0,0,-99,-99,,,,,,,,,,,,,,,,,-97,-97,-97,-97,-97,1,1,-97,0,3,55,3,2,1,0,1
52,1.764565395,2,-99,0,1,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,1,5,1,4,3,3,3,5,3,0,0,0,-97,0,,,,,,,,,,,,,,,,,-97,-97,0,2,1,1,-99,-97,1,3,53,3,2,1,0,1
53,0.593797361,1,0,0,0,0,0,0,1,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,3,4,1,1,1,3,3,3,2,5,4,0,0,0,3,0,,,,,,,,,,,,,,,,,5,3,0,101,2,1,1,1,0,1,75,1,6,1,0,2
54,0.90594681,2,1,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,4,2,2,1,2,3,3,3,5,2,0,0,-95,3,0,,,,,,,,,,,,,,,,,4,3,-99,102,3,1,1,0,0,2,70,4,6,1,0,2
55,0.446861822,1,0,0,0,0,0,0,1,0,-97,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,5,1,5,3,5,1,2,5,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,-97,0,-97,-97,1,1,-97,0,1,66,3,10,0,0,2
56,0.767744517,2,-99,0,0,0,0,0,0,1,1,-97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,4,4,1,3,2,-99,4,3,4,5,3,-99,0,0,-99,0,,,,,,,,,,,,,,,,,-99,-97,-99,-97,-97,1,-97,0,1,4,47,4,1,1,0,2
57,0.447036919,1,0,0,0,0,0,0,1,0,1,6,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,2,3,2,4,5,5,2,0,0,0,4,0,,,,,,,,,,,,,,,,,5,2,0,101,3,1,1,0,0,2,73,3,1,1,0,2
58,0.575516049,3,0,0,1,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,5,2,4,2,2,4,5,3,0,0,0,5,0,,,,,,,,,,,,,,,,,-97,3,-97,102,2,-97,-97,-97,0,3,31,1,1,1,0,2
